valid_time,u10,v10,t2m,ssrd,latitude,longitude
2024-01-08 14:00:00,-5.2819977,-2.5172882,272.39035,430976.0,53.0,8.75
2024-01-08 15:00:00,-4.7850647,-2.166748,272.14944,215552.0,53.0,8.75
2024-01-08 16:00:00,-4.5113983,-1.7631836,271.6731,11136.0,53.0,8.75
2024-01-08 17:00:00,-4.354645,-1.493988,271.2173,0.0,53.0,8.75
2024-01-08 18:00:00,-4.298996,-1.4791718,270.7949,0.0,53.0,8.75
2024-01-08 19:00:00,-4.4586487,-1.4895172,270.5136,0.0,53.0,8.75
2024-01-08 20:00:00,-4.513443,-1.4013824,270.23224,0.0,53.0,8.75
2024-01-08 21:00:00,-4.5286865,-1.3300629,269.99417,0.0,53.0,8.75
2024-01-08 22:00:00,-3.8173523,-1.1734924,269.49426,0.0,53.0,8.75
2024-01-08 23:00:00,-4.263077,-0.56111145,269.22183,0.0,53.0,8.75
2024-01-09 00:00:00,-3.9019775,-0.5214691,268.85114,0.0,53.0,8.75
2024-01-09 01:00:00,-3.69104,-0.7429962,268.7102,0.0,53.0,8.75
2024-01-09 02:00:00,-3.627472,-0.94688416,268.48267,0.0,53.0,8.75
2024-01-09 03:00:00,-3.2978363,-1.1604309,268.05286,0.0,53.0,8.75
2024-01-09 04:00:00,-3.2399292,-1.1493225,267.89575,0.0,53.0,8.75
2024-01-09 05:00:00,-3.1821442,-1.1134033,267.76868,0.0,53.0,8.75
2024-01-09 06:00:00,-3.7341156,-0.9409332,267.57526,0.0,53.0,8.75
2024-01-09 07:00:00,-3.6410828,-0.8086395,267.39468,0.0,53.0,8.75
2024-01-09 08:00:00,-3.4985657,-0.7773285,267.35065,8384.0,53.0,8.75
2024-01-09 09:00:00,-3.5333557,-1.0237579,268.17395,205184.0,53.0,8.75
2024-01-09 10:00:00,-3.414322,-0.4792633,268.70575,493760.0,53.0,8.75
2024-01-09 11:00:00,-3.3791504,-0.6309204,269.8222,666752.0,53.0,8.75
2024-01-09 12:00:00,-3.2220001,-0.8109131,270.8883,754176.0,53.0,8.75
2024-01-09 13:00:00,-3.0932312,-1.135498,271.4443,718848.0,53.0,8.75
2024-01-09 14:00:00,-2.7282257,-1.4833527,271.56104,502208.0,53.0,8.75
2024-01-09 15:00:00,-2.6670532,-1.6994781,270.99667,220736.0,53.0,8.75
2024-01-09 16:00:00,-2.898758,-1.8369293,270.03687,12416.0,53.0,8.75
2024-01-09 17:00:00,-3.1386108,-1.682724,269.31668,0.0,53.0,8.75
2024-01-09 18:00:00,-3.2144165,-1.3827362,268.85663,0.0,53.0,8.75
2024-01-09 19:00:00,-3.1351624,-1.3681946,268.69946,0.0,53.0,8.75
2024-01-09 20:00:00,-2.9810028,-1.4198151,268.57916,0.0,53.0,8.75
2024-01-09 21:00:00,-2.908722,-1.2187805,268.37207,0.0,53.0,8.75
2024-01-09 22:00:00,-2.8207703,-0.5789032,268.00146,0.0,53.0,8.75
2024-01-09 23:00:00,-2.8885498,-0.48129272,267.91675,0.0,53.0,8.75
2024-01-10 00:00:00,-2.719986,-0.53759766,267.90192,0.0,53.0,8.75
2024-01-10 01:00:00,-2.6838684,-0.5774231,267.7229,0.0,53.0,8.75
2024-01-10 02:00:00,-2.804428,-0.7209625,267.6496,0.0,53.0,8.75
2024-01-10 03:00:00,-2.723465,-1.0308228,267.5594,0.0,53.0,8.75
2024-01-10 04:00:00,-2.8567963,-0.9072113,267.63983,0.0,53.0,8.75
2024-01-10 05:00:00,-2.898346,-0.608078,267.73697,0.0,53.0,8.75
2024-01-10 06:00:00,-2.9313354,-0.8628998,267.30362,0.0,53.0,8.75
2024-01-10 07:00:00,-3.0693665,-1.1152649,267.37247,0.0,53.0,8.75
2024-01-10 08:00:00,-3.1307373,-0.9611664,267.40778,8640.0,53.0,8.75
2024-01-10 09:00:00,-3.157959,-0.58595276,268.05963,186304.0,53.0,8.75
2024-01-10 10:00:00,-3.404129,-0.31365967,268.64807,460416.0,53.0,8.75
2024-01-10 11:00:00,-3.2556152,-0.44215393,269.5675,705280.0,53.0,8.75
2024-01-10 12:00:00,-3.0944061,-0.7618408,270.4428,778880.0,53.0,8.75
2024-01-10 13:00:00,-2.8912354,-0.93118286,271.1608,707648.0,53.0,8.75
2024-01-10 14:00:00,-2.4722595,-0.8709259,271.19556,511872.0,53.0,8.75
